question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,explanation
"Enabling root guard on a switch port does what?","Upon receipt of an inferior BPDU, the port is shut down.","Upon receipt of a superior BPDU, the port is placed into a root inconsistent state.","Upon receipt of an inferior BPDU, the BPDU is filtered.","When the root port is shut down, only authorized designated ports can become root ports.",,,"Upon receipt of a superior BPDU, the port is placed into a root inconsistent state.","Root guard ensures that the designated port does not transition into a root port when a superior BPDU is received. In scenarios like this, the port is placed in a root inconsistent state for any VLANs that received a superior BPDU."
"UDLD solves the problem of ______.","time for Layer 2 convergence","a cable that sends traffic in only one direction","corrupt BPDU packets","flapping network links",,,"a cable that sends traffic in only one direction","Unidirectional Link Detection (UDLD) solves the problem when a cable sends traffic in only one direction."
"How many different BPDU types are there?","One","Two","Three","Four",,,"Two","There are two BPDU types: the configuration BPDU and topology change notification BPDU."
"What primary attribute is used to elect a root bridge?","Switch port priority","Bridge priority","Switch serial number","Path cost",,,"Bridge priority","The switch with the lowest bridge priority is elected as the root bridge. In the event of a tie, the bridge MAC address is used to elect a root bridge."
"The original 802.1D specification assigns what port cost value to a 1 Gbps interface?","1","2","4","19",,,"4","The original 802.1D specification set the value of 4 for a 1 Gbps interface."
"All of the ports on a root bridge are assigned what role?","Root port","Designated port","Superior port","Master port",,,"Designated port","All of the ports on a root bridge are assigned the designated port role (forwarding)."
"Using default settings, how long does a port stay in the listening state?","2 seconds","5 seconds","10 seconds","15 seconds",,,"15 seconds","The default 802.1D specification places a switch port in the listening state for 15 seconds."
"Upon receipt of a configuration BPDU with the topology change flag set, how do the downstream switches react?","By moving all ports to a blocking state on all switches","By flushing out all MAC addresses from the MAC address table","By temporarily moving all non-root ports to a listening state","By flushing out all old MAC addresses from the MAC address table","By updating the Topology Change version flag on the local switch database",,"By flushing out all old MAC addresses from the MAC address table","Upon receipt of a TCN BPDU, a switch sets the age for all MAC addresses to 15 seconds. Non-active/older entries are flushed from the MAC address table."
"Which of the following are not RSTP port states?","Blocking and Listening","Learning and Forwarding","Discarding and Learning",,,,"Blocking and Listening","The blocking and listening states have been combined into the discarding state of RSTP."
"True or false: When 802.1D is compared to RSTP, the number of port states is reduced from five to four.","True","False",,,,,,"False","False. STP has five port states, and RSTP has three port states: Discarding, Learning, and Forwarding."
"True or false: In a large Layer 2 switch topology that is running RSTP, the infrastructure must fully converge before any packets can be forwarded.","True","False",,,,,,"False","False. RSTP allows for traffic to flow between switches that have synchronized with each other, while other parts of the Layer 2 topology converge. It is essential to understand that there is a potential for packet loss on any network that has not fully converged."
"Forwarding of network traffic from a Layer 2 perspective uses what information?","Source IP address","Destination IP address","Source MAC address","Destination MAC address","Data protocol",,"Destination MAC address","The switch uses the destination MAC address to identify the port out of which the packet should be forwarded."
"What type of network device helps reduce the size of a collision domain?","Hub","Switch","Load balancer","Router",,,"Switch","A switch uses the MAC address table to limit the Layer 2 communication between only the two devices communicating with each other."
"Forwarding of network traffic from a Layer 3 perspective uses what information?","Source IP address","Destination IP address","Source MAC address","Destination MAC address","Data protocol",,"Destination IP address","The destination IP address is used to locate the longest matching route and the outbound interface out which it should be forwarded."
"What type of network device helps reduce the size of a broadcast domain?","Hub","Switch","Load balancer","Router",,,"Router","Broadcast domains do not cross Layer 3 boundaries. Splitting a Layer 2 topology into multiple subnets and joining them with a router reduces the size of a broadcast domain."
"The _________ can be directly correlated to the MAC address table.","adjacency table","CAM","TCAM","routing table",,,"CAM","The CAM is high-speed memory that contains the MAC address table."
"A ___________ forwarding architecture provides increased port density and forwarding scalability.","centralized","clustered","software","distributed",,,"distributed","A distributed architecture uses dedicated components for building the routing table, adjacency table, and forwarding engines. This allows for the forwarding decisions to be made closer to the packet’s egress and is more scalable."
"Which two components make up CEF?","Routing Information Base and Forwarding Information Base","Forwarding Information Base and Adjacency table","Label Information Base and MAC address table",,,,"Forwarding Information Base and Adjacency table","CEF is composed of the adjacency table and the Forwarding Information Base."
"OSPF uses the protocol number ___________ for its inter-router communication.","87","88","89","90",,,"89","OSPF uses protocol number 89."
"OSPF uses ___________ packet types for inter-router communication.","three","four","five","six","seven",,"five","OSPFv2 uses five packet types for communication: hello, database description, link state request, link state update, and link state acknowledgment."
"Which pair of destination addresses does OSPF use when feasible?","IP address 224.0.0.5 and MAC address 01:00:5E:00:00:05","IP address 224.0.0.10 and MAC address 01:00:5E:00:00:0A","IP address 224.0.0.8 and MAC address 01:00:5E:00:00:05",,,,"IP address 224.0.0.5 and MAC address 01:00:5E:00:00:05","OSPF uses the multicast IP address 224.0.0.5 or the MAC address 01:00:5e:00:00:05 for the AllSPFRouters group."
"True or false: OSPF is only enabled on a router interface by using the command network ip-address wildcard-mask area area-id under the OSPF router process.","True","False",,,,,,"False","False. OSPF can also be enabled with the interface parameter command ip ospf process-id area area-id."
"True or false: The OSPF process ID must match for routers to establish a neighbor adjacency.","True","False",,,,,,"False","False. The OSPF process ID is locally significant and is not required to match for neighbor adjacency."
"True or false: A default route advertised with the command default information-originate in OSPF will always appear as an OSPF inter-area route.","True","False",,,,,,"False","False. An OSPF advertised default route always appears as an external route."
"True or false: The router with the highest IP address is the designated router when using a serial point-to-point link.","True","False",,,,,,"False","False. Serial point-to-point links are automatically set as an OSPF point-to-point network type, which does not have a designated router."
"OSPF automatically assigns a link cost to an interface based on a reference bandwidth of ___________.","100 Mbps","1 Gbps","10 Gbps","40 Gbps",,,"100 Mbps","IOS XE uses a reference bandwidth of 100 Mbps for dynamic metric assignment to an interface."
"What command is configured to prevent a router from becoming the designated router for a network segment?","The interface command ip ospf priority 0","The interface command ip ospf priority 255","The command dr-disable interface-id under the OSPF process","The command passive interface interface-id under the OSPF process","The command dr-priority interface-id 255 under the OSPF process",,"The interface command ip ospf priority 0","Setting the interface priority to 0 removes the interface from the DR election process."
"What is the advertised network for the loopback interface with IP address 10.123.4.1/30?","10.123.4.1/24","10.123.4.0/30","10.123.4.1/32","10.123.4.0/24",,,"10.123.4.1/32","The loopback address is classified as an OSPF loopback interface type, which is always advertised as a /32 address, regardless of the subnet mask."
